Sample,Group,ClassSimple,Proportion
HPSI_072,Psidium microphyllum (4n),Other (Simple Repeat, Microsatellite, RNA),2.90387678772081
HPSI_072,Psidium microphyllum (4n),Penelope,0
HPSI_072,Psidium microphyllum (4n),Rolling Circle,0.907564103584478
HPSI_072,Psidium microphyllum (4n),SINE,0.0108353939166008
HPSI_072,Psidium microphyllum (4n),Unclassified,24.520036009318
HPSI_069,Feijoa sellowiana (2n),DNA,1.30824244890204
HPSI_069,Feijoa sellowiana (2n),LINE,1.18706724095825
HPSI_069,Feijoa sellowiana (2n),LTR,17.9281761308559
HPSI_069,Feijoa sellowiana (2n),Non-Repeat,57.9299457167202
HPSI_069,Feijoa sellowiana (2n),Other (Simple Repeat, Microsatellite, RNA),5.69964989474408
HPSI_069,Feijoa sellowiana (2n),Penelope,0
HPSI_069,Feijoa sellowiana (2n),Rolling Circle,0.456383113881259
HPSI_069,Feijoa sellowiana (2n),SINE,0.00287297834783079
HPSI_069,Feijoa sellowiana (2n),Unclassified,16.0727357193948
HEUG_001,Eugenia stipitata (2n),DNA,3.77102532366288
HEUG_001,Eugenia stipitata (2n),LINE,0.815711331499765
HEUG_001,Eugenia stipitata (2n),LTR,23.3064624796599
HEUG_001,Eugenia stipitata (2n),Non-Repeat,51.9570926519205
HEUG_001,Eugenia stipitata (2n),Other (Simple Repeat, Microsatellite, RNA),6.28277585368314
HEUG_001,Eugenia stipitata (2n),Penelope,0
HEUG_001,Eugenia stipitata (2n),Rolling Circle,0.343059163264803
HEUG_001,Eugenia stipitata (2n),SINE,0.00240871814559549
HEUG_001,Eugenia stipitata (2n),Unclassified,14.1096963458781
HSYZ_002,Syzygium aqueum (2n),DNA,2.33141889923474
HSYZ_002,Syzygium aqueum (2n),LINE,2.64660696156792
HSYZ_002,Syzygium aqueum (2n),LTR,24.5623674800258
HSYZ_002,Syzygium aqueum (2n),Non-Repeat,45.5956523709951
HSYZ_002,Syzygium aqueum (2n),Other (Simple Repeat, Microsatellite, RNA),3.47887901907525
HSYZ_002,Syzygium aqueum (2n),Penelope,0
HSYZ_002,Syzygium aqueum (2n),Rolling Circle,1.52500363289224
HSYZ_002,Syzygium aqueum (2n),SINE,0.00232630527753021
HSYZ_002,Syzygium aqueum (2n),Unclassified,20.6421357183446
